"Service ID","Service name","Line type","Detail"
"organization-setup","Organization Setup","Included deliverable","Stakeholder discovery sessions and constraints review"
"organization-setup","Organization Setup","Included deliverable","Technology and tooling recommendations aligned to your scale"
"organization-setup","Organization Setup","Included deliverable","Process and workflow outline (roles, handoffs, basics of governance)"
"organization-setup","Organization Setup","Included deliverable","Written roadmap and next-step checklist you can execute internally"
"organization-setup","Organization Setup","Included deliverable","One structured handover or Q&A workshop"
"organization-setup","Organization Setup","Quoted separately","End-to-end rollout across departments, dedicated PM, and ongoing operating support are quoted after scope."
"organization-setup","Organization Setup","Capability area","Technology Stack Selection"
"organization-setup","Organization Setup","Capability area","Process & Workflow Design"
"organization-setup","Organization Setup","Capability area","Team Structure & Roles"
"organization-setup","Organization Setup","Capability area","Governance & Policies"
"organization-setup","Organization Setup","Capability area","Documentation & Knowledge Base"
"software-app-development","Software & App Development","Included deliverable","Requirements workshop and backlog for the agreed scope"
"software-app-development","Software & App Development","Included deliverable","UI implementation for screens in scope (design may be separate or bundled)"
"software-app-development","Software & App Development","Included deliverable","APIs and integrations explicitly listed in the statement of work"
"software-app-development","Software & App Development","Included deliverable","Tested build deployed to your hosting or ours for go-live"
"software-app-development","Software & App Development","Included deliverable","Post-launch stabilization window as agreed in the proposal"
"software-app-development","Software & App Development","Quoted separately","Second mobile codebase, heavy third-party integrations, compliance-heavy sectors, and 24/7 operations are priced after technical discovery."
"software-app-development","Software & App Development","Capability area","Web Applications (SPA, PWA)"
"software-app-development","Software & App Development","Capability area","Mobile Apps (iOS & Android)"
"software-app-development","Software & App Development","Capability area","APIs & Integrations"
"software-app-development","Software & App Development","Capability area","E-commerce & Portals"
"software-app-development","Software & App Development","Capability area","Legacy Modernization"
"infrastructure-cloud","Infrastructure & Cloud","Included deliverable","Architecture or target-state diagram for the agreed slice"
"infrastructure-cloud","Infrastructure & Cloud","Included deliverable","Implementation of agreed automation (e.g. pipeline, basic IaC) in your cloud account"
"infrastructure-cloud","Infrastructure & Cloud","Included deliverable","Runbook or handover notes for your team"
